Name,CI,LSR,BSL,HMS,MCC_5,TPR_5,PPV_5,MCC_9,TPR_9,PPV_9
171.00_8.89_2.90_3.76_11.91.dat,171.0,0.9672223828000592,0.9928233264456316,0.9422410236786168,0.546880715251465,0.8513513513513513,0.3559322033898305,0.20708225365965732,0.05405405405405406,0.8
172.00_0.74_1.62_20.83_14.41.dat,172.0,0.968015415188803,0.994005241837213,0.9776413305875995,0.6346649010153425,0.9459459459459459,0.4294478527607362,0.652201224527545,0.4864864864864865,0.8780487804878049
172.00_1.86_0.20_10.34_11.58.dat,172.0,0.9781676998082439,0.9963115264021246,0.9464255731351113,0.5888766274675139,0.6486486486486487,0.5393258426966292,0.0,0.0,0.0
173.00_0.00_1.34_6.65_0.00.dat,173.0,0.967117393988046,0.9938126675986331,0.8327936620321467,-0.002223148102954932,0.0,0.0,0.0,0.0,0.0
173.00_1.36_0.00_31.25_3.71.dat,173.0,0.9722462221082468,0.9943007221963343,0.8540448005418348,0.45630836018574,0.581081081081081,0.3644067796610169,0.0,0.0,0.0
174.00_0.00_0.98_4.24_1.12.dat,174.0,0.9645612937557566,0.9926131006177606,0.8331068230227466,0.017656372957658997,0.013513513513513514,0.03333333333333333,0.0,0.0,0.0
175.00_5.65_1.15_8.04_1.34.dat,175.0,0.9674580274783603,0.9936277039312039,0.8866630616760087,0.31919414954561204,0.2702702702702703,0.38461538461538464,0.0,0.0,0.0
176.00_0.00_0.19_10.30_0.28.dat,176.0,0.9578510102566392,0.9900909249503741,0.7676593859339567,0.015125589909509931,0.02702702702702703,0.017857142857142856,-0.0013174601674245498,0.0,0.0
176.00_0.00_2.31_4.86_3.36.dat,176.0,0.9652852238562175,0.9929318760879523,0.870383641953282,0.3199866621400461,0.28378378378378377,0.3684210526315789,0.0,0.0,0.0
176.00_0.45_0.14_13.41_7.37.dat,176.0,0.9788975593338252,0.9965889897694304,0.9726064763890003,0.7380577986523402,0.972972972972973,0.5625,0.7493403011374872,0.6351351351351351,0.8867924528301887
177.00_0.00_5.00_13.18_1.93.dat,177.0,0.9719779609752585,0.9950109436683875,0.8376320003537897,0.3587485857109798,0.2972972972972973,0.44,0.0,0.0,0.0
178.00_1.74_2.26_7.22_3.34.dat,178.0,0.973734036909053,0.9948726524988676,0.8226627153612327,0.39401353604182304,0.44594594594594594,0.3548387096774194,0.0,0.0,0.0
178.00_2.37_1.85_17.03_14.39.dat,178.0,0.9746767601238605,0.9954579513060546,0.947206594119253,0.661229241776864,0.8378378378378378,0.5254237288135594,0.0,0.0,0.0
179.00_0.36_6.59_6.44_3.40.dat,179.0,0.9701215615106544,0.9940193741741742,0.8548114874554882,0.3279705965545101,0.3783783783783784,0.2916666666666667,0.0,0.0,0.0
