Name,CI,LSR,BSL,HMS,MCC_5,TPR_5,PPV_5,MCC_9,TPR_9,PPV_9
178_00_1_74_2_26_7_22_3_34,178.0,0.956606011398589,0.9934208666767326,0.04464804683074941,0.0,0.0,0.0,0.0,0.0,0.0
199_00_1_06_1_35_6_62_12_91,199.0,0.9561209752127039,0.9914997837837838,0.4202928264382525,0.22321770968950067,0.3108108108108108,0.1678832116788321,0.22384563369953533,0.10810810810810811,0.47058823529411764
150_00_3_55_0_53_9_16_24_58,150.0,0.9565399757462036,0.9911735099337748,0.6247923181298076,0.3457872569374852,0.47297297297297297,0.26119402985074625,0.3448484909611555,0.1891891891891892,0.6363636363636364
84_00_0_00_4_59_21_03_14_40,84.0,0.9302075086808219,0.9836001271860095,0.4370295226861203,0.2351630766944129,0.2702702702702703,0.2222222222222222,0.20716639964414987,0.08108108108108109,0.5454545454545454
151_00_4_10_0_00_2_11_12_58,151.0,0.9531145292989617,0.9916200568990042,0.2558833131507712,0.0,0.0,0.0,0.0,0.0,0.0
1_00_1_31_8_35_53_01_9_61,1.0,0.7555968257903671,0.9461837837837838,0.8508116611251294,0.8849477555881375,1.0,0.891566265060241,0.909483641319161,1.0,0.9135802469135802
14_00_9_99_9_25_46_28_11_15,14.0,0.7419181019250003,0.937710990990991,0.699572799158809,0.6073973713040635,0.8378378378378378,0.4881889763779528,0.5730697783314485,0.6891891891891891,0.53125
79_00_3_20_5_27_8_09_20_46,79.0,0.9375171604420061,0.9864945945945945,0.43325639833571283,0.14305011386783434,0.08108108108108109,0.2727272727272727,0.0,0.0,0.0
84_00_4_97_1_65_4_14_26_40,84.0,0.9351385810832143,0.9843255961844197,0.5655895075875527,0.3560157055457393,0.4594594594594595,0.2905982905982906,0.27485128415971644,0.14864864864864866,0.5238095238095238
5_00_4_31_10_50_55_73_14_67,5.0,0.7141316782819802,0.9268468468468468,0.7529633202543214,0.748705779881247,0.9054054054054054,0.6979166666666666,0.7049892213267618,0.7702702702702703,0.7402597402597403
19_00_2_43_3_62_51_21_86_63,19.0,0.9046716612187518,0.9774994594594595,0.9235139088953512,0.8019231115836682,0.972972972972973,0.6792452830188679,0.8252964479503773,0.8783783783783784,0.7926829268292683
188_00_1_01_0_00_16_30_7_03,188.0,0.9589796396210309,0.9927015015015015,0.5592762664984787,0.4021783062879906,0.4189189189189189,0.3924050632911392,0.2319731779030441,0.12162162162162163,0.45
149_00_0_00_0_88_26_55_26_10,149.0,0.9560387232016174,0.9915352792792793,0.7339403761048003,0.4659204673450397,0.581081081081081,0.3805309734513274,0.3644914011183765,0.22972972972972974,0.5862068965517241
189_00_0_04_1_48_17_27_7_03,189.0,0.9596801196397214,0.9934914366998577,0.2226786640395234,0.0,0.0,0.0,0.0,0.0,0.0
77_00_3_17_1_92_17_31_13_99,77.0,0.918135348674202,0.9808917532917533,0.4359118858200124,0.35071729462626083,0.44594594594594594,0.2920353982300885,0.3711829751118625,0.33783783783783783,0.423728813559322
80_00_3_13_6_15_3_44_3_96,80.0,0.9386944128307133,0.9878916249582916,0.2531140793657981,0.181840162031486,0.0945945945945946,0.3684210526315789,0.0,0.0,0.0
85_00_0_00_3_30_13_48_20_06,85.0,0.9326007357655491,0.985106976744186,0.6978980343020516,0.45997037350345715,0.6081081081081081,0.36,0.4333623211512311,0.44594594594594594,0.4342105263157895
99_00_0_84_0_65_4_76_19_81,99.0,0.9373327367682264,0.98584,0.4344171002127909,0.2720133692805645,0.32432432432432434,0.24242424242424243,0.09721221171444125,0.04054054054054054,0.25
21_00_6_49_5_58_65_22_8_31,21.0,0.8609064518714412,0.9670820638820639,0.8414217766892336,0.6740537480107806,0.8918918918918919,0.5365853658536586,0.7309012886884878,0.7972972972972973,0.6941176470588235
