Name,CI,LSR,BSL,HMS,MCC_5,TPR_5,PPV_5,MCC_9,TPR_9,PPV_9
1_00_1_31_8_35_53_01_9_61,1.0,0.9579789007108704,0.9931587837837837,0.9783860148148147,0.9865765724632495,1.0,0.9866666666666667,0.9865765724632495,1.0,0.9866666666666667
1_00_2_65_10_68_37_88_45_07,1.0,0.989305676445118,0.9999324324324325,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10_00_1_79_9_26_24_89_96_49,10.0,0.9709519121272007,0.9940093366093367,0.9860010436966544,0.9578622030334007,1.0,0.925,0.9554054054054054,0.9594594594594594,0.9594594594594594
10_00_7_49_4_56_48_53_74_08,10.0,0.9858427095215466,0.9989046683046683,0.9971558230328029,0.9851351351351352,0.9864864864864865,0.9864864864864865,0.9850636549546777,0.972972972972973,1.0
100_00_4_51_5_21_22_99_1_70,100.0,0.901480257947692,0.9806779636071715,0.9481073552282953,0.6354345242998091,0.972972972972973,0.42105263157894735,0.5903653168141949,0.47297297297297297,0.7446808510638298
101_00_0_85_0_38_3_08_19_93,101.0,0.9424324376814891,0.9870102808691044,0.9875381087693204,0.6348123403892918,1.0,0.4088397790055249,0.8406791672152327,0.9594594594594594,0.7395833333333334
102_00_6_47_6_17_2_56_9_35,102.0,0.8506553941578064,0.9726575701915507,0.846296188215417,-0.0016041221153000186,0.0,0.0,0.0,0.0,0.0
103_00_0_13_0_92_41_41_10_35,103.0,0.9444431135760483,0.9885090176715177,0.9921430786338692,0.6827920142764963,1.0,0.4713375796178344,0.8377920478780809,1.0,0.7047619047619048
103_00_0_55_1_45_13_42_0_67,103.0,0.8879342010178807,0.9815090826403327,0.9802114885534029,0.6827920142764963,1.0,0.4713375796178344,0.5437358803152469,0.36486486486486486,0.8181818181818182
104_00_0_00_4_03_32_13_5_55,104.0,0.9418306209720717,0.9875280823680823,0.9896241291016948,0.665719023448946,1.0,0.4484848484848485,0.8610969865099661,0.918918918918919,0.8095238095238095
105_00_1_36_0_00_8_68_4_15,105.0,0.8581935640841527,0.9695669938806731,0.9643763257576404,0.5110240871694375,1.0,0.26811594202898553,0.0,0.0,0.0
106_00_0_00_2_68_29_45_20_98,106.0,0.9720648995165745,0.9959469436726446,0.9920816984856976,0.8470517371332875,0.9864864864864865,0.73,0.8998873594753283,0.918918918918919,0.8831168831168831
106_00_0_45_7_36_30_11_9_13,106.0,0.936489523049524,0.9840330765344784,0.9770211499567861,0.5553650594494817,1.0,0.3148936170212766,0.8792479833678197,0.9324324324324325,0.8313253012048193
107_00_1_46_1_03_17_91_2_52,107.0,0.9329452945224689,0.9864490365365365,0.9843129666461047,0.616176027768252,1.0,0.3854166666666667,0.8661241986263233,0.9459459459459459,0.7954545454545454
108_00_0_00_1_97_1_80_6_07,108.0,0.7437118179505555,0.9434593726754277,0.13932582828582685,-0.002835936905701552,0.0,0.0,0.0,0.0,0.0
109_00_1_44_4_40_4_14_16_40,109.0,0.9578801921418665,0.9923005773955774,0.9842429644301794,0.7533967475517547,0.9864864864864865,0.5793650793650794,0.8330552205815608,0.8513513513513513,0.8181818181818182
109_00_2_45_0_97_30_43_1_85,109.0,0.9550497923740463,0.9906107985257985,0.9855761862073701,0.6920426776565353,1.0,0.48366013071895425,0.8509639438583813,0.918918918918919,0.7906976744186046
11_00_4_88_9_02_7_94_27_55,11.0,0.9527799408662289,0.9897277027027027,0.9727271034131771,0.9207497634264666,1.0,0.8604651162790697,0.9495604117356714,0.972972972972973,0.935064935064935
110_00_0_07_2_83_1_88_34_57,110.0,0.9498970053210681,0.9909902240077916,0.9857795068949962,0.6897803493449092,1.0,0.4805194805194805,0.8794947636380619,0.8378378378378378,0.9253731343283582
110_00_5_54_0_00_13_69_37_78,110.0,0.9466167248576394,0.9878289627465303,0.996728909777837,0.6369910327136291,1.0,0.4111111111111111,0.921529327227538,1.0,0.8505747126436781
111_00_0_00_2_08_4_65_13_14,111.0,0.865072802986837,0.9727143943050193,0.9586384999895797,0.5381985299660875,1.0,0.296,0.5932282097232509,0.43243243243243246,0.8205128205128205
112_00_4_91_2_09_9_29_28_55,112.0,0.9712587627734011,0.9953575340827553,0.9967870061067747,0.8037350153734397,1.0,0.6491228070175439,0.9220679880403464,0.9594594594594594,0.8875
112_00_5_20_2_60_12_26_13_54,112.0,0.9379205081419995,0.9894577971777087,0.9804544167011092,0.7063762765838795,1.0,0.5034013605442177,0.737993767456301,0.6081081081081081,0.9
113_00_0_00_0_96_7_64_11_08,113.0,0.9030946340481537,0.9823663229018492,0.9859457732282972,0.6444577756671573,1.0,0.42045454545454547,0.752616690279659,0.6621621621621622,0.8596491228070176
114_00_0_78_2_63_1_32_16_68,114.0,0.9060985628768304,0.9826243713278496,0.9794799906704582,0.65210014424413,1.0,0.43023255813953487,0.6002369666868972,0.4594594594594595,0.7906976744186046
115_00_0_00_0_87_2_88_2_07,115.0,0.7803544254726504,0.9513162395153775,0.8114884360836645,0.4167246551379368,0.7027027027027027,0.2561576354679803,0.0,0.0,0.0
115_00_2_38_3_32_1_36_5_93,115.0,0.9123535317433688,0.9863594478098788,0.9671442287399481,0.7505643998737223,0.7972972972972973,0.7108433734939759,0.0,0.0,0.0
116_00_0_00_0_30_13_40_22_52,116.0,0.9724407609137578,0.9960057634557634,0.9948287000650398,0.8379837401575718,1.0,0.7047619047619048,0.8999695017846935,0.918918918918919,0.8831168831168831
116_00_0_00_6_30_15_40_2_82,116.0,0.8694604281394975,0.9772281011781012,0.9659644914801468,0.6518206781169738,0.972972972972973,0.44171779141104295,0.0,0.0,0.0
116_00_2_77_2_71_13_53_43_39,116.0,0.9593017180447391,0.9917801917301917,0.9927631662667151,0.706484492250388,1.0,0.5034013605442177,0.9106628070441571,0.9594594594594594,0.8658536585365854
117_00_3_94_5_31_12_50_5_67,117.0,0.8770465532941277,0.9685306688043976,0.9732318000895299,0.4138723104564722,1.0,0.1783132530120482,0.7815038917992201,0.8783783783783784,0.6989247311827957
118_00_0_00_0_55_15_53_12_18,118.0,0.9333820827366772,0.9882597660685896,0.9780931967756518,0.6716928522248247,0.9864864864864865,0.4620253164556962,0.7828511145388218,0.8108108108108109,0.759493670886076
118_00_0_98_0_71_7_33_1_22,118.0,0.791687125376501,0.9490099477628889,0.8905121571625028,0.3822593061678029,0.972972972972973,0.1575492341356674,0.25891665958272403,0.06756756756756757,1.0
119_00_1_18_1_32_14_60_2_11,119.0,0.8237971841525874,0.965078963963964,0.8909104929456366,0.5561396370759003,0.8378378378378378,0.37575757575757573,0.0,0.0,0.0
12_00_4_88_5_43_54_59_12_08,12.0,0.97004176414161,0.9930074844074844,0.9855791269159722,0.933290815358078,1.0,0.8809523809523809,0.9782015981017788,0.9864864864864865,0.9733333333333334
120_00_0_02_4_30_8_59_15_24,120.0,0.9492528843320014,0.9885454210408756,0.9871179709503537,0.6134237196211232,1.0,0.38144329896907214,0.83070083779081,0.8918918918918919,0.7764705882352941
120_00_5_09_6_15_3_72_27_57,120.0,0.9563448742107834,0.9908850011168193,0.9945002260825921,0.6946695541577191,1.0,0.4868421052631579,0.8740791924600291,0.9324324324324325,0.8214285714285714
121_00_0_07_1_44_11_78_3_75,121.0,0.8881728593805839,0.972947762516615,0.982430110646401,0.46095534259236354,1.0,0.21893491124260356,0.8383992985874441,0.8108108108108109,0.8695652173913043
122_00_0_00_1_67_7_31_6_41,122.0,0.8594991339443859,0.9735598110305428,0.9407357826403319,0.6179829488784201,0.7297297297297297,0.5294117647058824,0.0,0.0,0.0
122_00_0_00_8_26_10_77_24_46,122.0,0.968500198778783,0.9950895737200616,0.9931144664937616,0.8111308496594867,1.0,0.6607142857142857,0.8366570891172277,0.7972972972972973,0.8805970149253731
123_00_0_54_2_42_28_12_6_02,123.0,0.9405449508140487,0.9865736050566696,0.9931701712441927,0.6119169549932519,1.0,0.37948717948717947,0.8741859592980786,0.9864864864864865,0.776595744680851
124_00_3_86_2_05_11_88_4_79,124.0,0.856999552506102,0.9710433837837837,0.969044207517723,0.48715460534376565,1.0,0.24342105263157895,0.0,0.0,0.0
