Name,n_run,CI,LSR,BSL,HMS,MCC_5,TPR_5,PPV_5,MCC_9,TPR_9,PPV_9
64.00_3.44_7.03_56.49_15.10.dat,1,64.0,0.6488981492820395,0.9257796257796258,0.7015039378330372,0.3535978749559511,0.8783783783783784,0.15738498789346247,0.3535978749559511,0.8783783783783784,0.15738498789346247
64.00_3.44_7.03_56.49_15.10.dat,2,64.0,0.7947229960209705,0.9458419958419958,0.7842676116510892,0.2710765561233468,0.9324324324324325,0.09400544959128065,0.5360620111065695,0.8513513513513513,0.35
64.00_3.44_7.03_56.49_15.10.dat,3,64.0,0.8259432538298581,0.9525987525987526,0.7831961598415845,0.4037864265436242,0.8783783783783784,0.2,0.6195567924745982,0.8243243243243243,0.4765625
64.00_3.44_7.03_56.49_15.10.dat,4,64.0,0.8516591904712496,0.9608887733887734,0.818598209838006,0.3687141751937835,0.918918918918919,0.162291169451074,0.6749122794408421,0.8108108108108109,0.5714285714285714
64.00_3.44_7.03_56.49_15.10.dat,5,64.0,0.8564474370744315,0.9635841995841996,0.8108313965326303,0.4888452405664893,0.8918918918918919,0.28085106382978725,0.7030751552135576,0.8108108108108109,0.6185567010309279
64.00_3.44_7.03_56.49_15.10.dat,6,64.0,0.8557612324802991,0.9648995148995149,0.8240146421862751,0.431425279440689,0.9324324324324325,0.21296296296296297,0.7030751552135576,0.8108108108108109,0.6185567010309279
64.00_3.44_7.03_56.49_15.10.dat,7,64.0,0.8598553342252834,0.9670838813695957,0.8225098523567694,0.5428671690296089,0.8783783783783784,0.34759358288770054,0.7030751552135576,0.8108108108108109,0.6185567010309279
64.00_3.44_7.03_56.49_15.10.dat,8,64.0,0.8627382308947427,0.9684803794178795,0.8415923636068032,0.4945470735028295,0.918918918918919,0.2786885245901639,0.7030751552135576,0.8108108108108109,0.6185567010309279
64.00_3.44_7.03_56.49_15.10.dat,9,64.0,0.867582419423802,0.9703421370088037,0.855477417149167,0.5801528114518942,0.9054054054054054,0.38285714285714284,0.7030751552135576,0.8108108108108109,0.6185567010309279
64.00_3.44_7.03_56.49_15.10.dat,10,64.0,0.8700907935959014,0.9716694386694387,0.8750163755784571,0.536054656936163,0.9459459459459459,0.3153153153153153,0.7030751552135576,0.8108108108108109,0.6185567010309279
64.00_3.44_7.03_56.49_15.10.dat,11,64.0,0.8718761569104336,0.9722410267864814,0.8740785813896161,0.581081081081081,0.9324324324324325,0.372972972972973,0.7030751552135576,0.8108108108108109,0.6185567010309279
64.00_3.44_7.03_56.49_15.10.dat,12,64.0,0.8739260128779955,0.9731592169092169,0.8687544046786687,0.5520497153905181,0.9324324324324325,0.3382352941176471,0.7030751552135576,0.8108108108108109,0.6185567010309279
64.00_3.44_7.03_56.49_15.10.dat,13,64.0,0.874968094183992,0.9734133769636728,0.8751708564001901,0.5762109027260318,0.9324324324324325,0.3670212765957447,0.7030751552135576,0.8108108108108109,0.6185567010309279
64.00_3.44_7.03_56.49_15.10.dat,14,64.0,0.8710932773378217,0.9729294836437694,0.8749273008621978,0.5534769650903456,0.9324324324324325,0.3399014778325123,0.7030751552135576,0.8108108108108109,0.6185567010309279
64.00_3.44_7.03_56.49_15.10.dat,15,64.0,0.8701987354084025,0.9728870408870409,0.8655991306762318,0.58742312536902,0.918918918918919,0.38636363636363635,0.7030751552135576,0.8108108108108109,0.6185567010309279
64.00_3.44_7.03_56.49_15.10.dat,16,64.0,0.8694020962342348,0.9728227325883576,0.873386115137418,0.581081081081081,0.9324324324324325,0.372972972972973,0.7030751552135576,0.8108108108108109,0.6185567010309279
64.00_3.44_7.03_56.49_15.10.dat,17,64.0,0.8696616974454611,0.9730132581343653,0.8791956564329484,0.5929125025374167,0.9324324324324325,0.38764044943820225,0.7030751552135576,0.8108108108108109,0.6185567010309279
64.00_3.44_7.03_56.49_15.10.dat,18,64.0,0.8708599896204681,0.9732867482867483,0.8767708763663473,0.582730473522658,0.9324324324324325,0.375,0.7030751552135576,0.8108108108108109,0.6185567010309279
64.00_3.44_7.03_56.49_15.10.dat,19,64.0,0.8695105753556609,0.9728474265870388,0.8822362278871125,0.6037370360393145,0.918918918918919,0.40718562874251496,0.7068383682940961,0.8108108108108109,0.625
64.00_3.44_7.03_56.49_15.10.dat,20,64.0,0.869196191285867,0.9728030145530145,0.8760929539457143,0.5762109027260318,0.9324324324324325,0.3670212765957447,0.7076161124955792,0.8243243243243243,0.6161616161616161
64.00_3.44_7.03_56.49_15.10.dat,21,64.0,0.8707822189464234,0.9732647875505018,0.8831616788311042,0.5999868031428552,0.9324324324324325,0.39655172413793105,0.7076161124955792,0.8243243243243243,0.6161616161616161
64.00_3.44_7.03_56.49_15.10.dat,22,64.0,0.8705475479846061,0.9731258913077094,0.8883757394829512,0.5898648648648649,0.9459459459459459,0.3783783783783784,0.7076161124955792,0.8243243243243243,0.6161616161616161
64.00_3.44_7.03_56.49_15.10.dat,23,64.0,0.8716093707032027,0.9734005635706959,0.8904934683622509,0.6054522706983633,0.9324324324324325,0.40350877192982454,0.7076161124955792,0.8243243243243243,0.6161616161616161
64.00_3.44_7.03_56.49_15.10.dat,24,64.0,0.8715384695747086,0.9734263109263109,0.8922262417092788,0.5915371419204661,0.9459459459459459,0.3804347826086957,0.7076161124955792,0.8243243243243243,0.6161616161616161
