Name,n_run,CI,LSR,BSL,HMS,MCC_5,TPR_5,PPV_5,MCC_9,TPR_9,PPV_9
oc_12_1000_1000_1.0_p019_0710_1.dat,1,27.38121546961326,0.3950976687523966,0.870547011874635,0.4474316113713712,0.3235155976030527,0.7458563535911602,0.17904509283819628,0.3235155976030527,0.7458563535911602,0.17904509283819628
oc_12_1000_1000_1.0_p019_0710_1.dat,2,27.38121546961326,0.7252405263068682,0.9280708584777108,0.5966881212769202,0.34690270646552857,0.9171270718232044,0.16468253968253968,0.4591987134862991,0.6022099447513812,0.38652482269503546
oc_12_1000_1000_1.0_p019_0710_1.dat,3,27.38121546961326,0.7658439486937019,0.9337918802586896,0.5839723564302954,0.3974419982358797,0.7182320441988951,0.25691699604743085,0.5674616043463786,0.6022099447513812,0.5647668393782384
oc_12_1000_1000_1.0_p019_0710_1.dat,4,27.38121546961326,0.7873376362579414,0.9421841541755889,0.6377745952208929,0.3999176519653215,0.8287292817679558,0.22727272727272727,0.5466175760395371,0.5414364640883977,0.5833333333333334
oc_12_1000_1000_1.0_p019_0710_1.dat,5,27.38121546961326,0.8031527026718144,0.9471987541366557,0.6556108816226776,0.4831147684525677,0.7734806629834254,0.3341288782816229,0.5610610653333882,0.5359116022099447,0.6178343949044586
oc_12_1000_1000_1.0_p019_0710_1.dat,6,27.38121546961326,0.820506170630286,0.9533396059091991,0.6643522780001405,0.46543748183275546,0.7734806629834254,0.3131991051454139,0.5840531960133947,0.5248618784530387,0.6785714285714286
oc_12_1000_1000_1.0_p019_0710_1.dat,7,27.38121546961326,0.8218611247807015,0.9542653736596839,0.6595600994646591,0.5248957796749365,0.7624309392265194,0.39204545454545453,0.5840531960133947,0.5248618784530387,0.6785714285714286
oc_12_1000_1000_1.0_p019_0710_1.dat,8,27.38121546961326,0.8306910594730419,0.9561271169943547,0.6565144484434083,0.4883077898543877,0.7790055248618785,0.3381294964028777,0.5873266973943861,0.49171270718232046,0.7295081967213115
oc_12_1000_1000_1.0_p019_0710_1.dat,9,27.38121546961326,0.8322049711746784,0.9569066828167471,0.6811916426838271,0.5319947734406412,0.7513812154696132,0.40718562874251496,0.578594931146135,0.48066298342541436,0.725
oc_12_1000_1000_1.0_p019_0710_1.dat,10,27.38121546961326,0.8351041502879022,0.9584446174810201,0.6806353181038852,0.5241201425503194,0.7734806629834254,0.3856749311294766,0.6079407510263274,0.5966850828729282,0.6467065868263473
oc_12_1000_1000_1.0_p019_0710_1.dat,11,27.38121546961326,0.8354840967076393,0.95848623742513,0.6721487259434942,0.5432330017499029,0.7348066298342542,0.4318181818181818,0.6079407510263274,0.5966850828729282,0.6467065868263473
oc_12_1000_1000_1.0_p019_0710_1.dat,12,27.38121546961326,0.8374224279218356,0.9594161637791188,0.68134402447493,0.5541411506637985,0.7679558011049724,0.42901234567901236,0.6059248914770401,0.5911602209944752,0.6484848484848484
oc_12_1000_1000_1.0_p019_0710_1.dat,13,27.38121546961326,0.8445080939992743,0.9615033294822456,0.6802289734307871,0.5678971629953875,0.7513812154696132,0.45791245791245794,0.6094803482136629,0.5524861878453039,0.6993006993006993
oc_12_1000_1000_1.0_p019_0710_1.dat,14,27.38121546961326,0.8464284104228006,0.9622586040450831,0.6846627121400652,0.5658636019336343,0.7679558011049724,0.44551282051282054,0.6094803482136629,0.5524861878453039,0.6993006993006993
oc_12_1000_1000_1.0_p019_0710_1.dat,15,27.38121546961326,0.8431384205312418,0.9615313736941146,0.6882653526870391,0.5703034257127191,0.7569060773480663,0.45819397993311034,0.5951428818988412,0.5303867403314917,0.6956521739130435
oc_12_1000_1000_1.0_p019_0710_1.dat,16,27.38121546961326,0.8449673605430348,0.9624347564239829,0.6995242471064191,0.5644559788530051,0.7624309392265194,0.44660194174757284,0.5974821552740066,0.5303867403314917,0.7007299270072993
oc_12_1000_1000_1.0_p019_0710_1.dat,17,27.38121546961326,0.8438323677425954,0.9619976653533999,0.7075159595334364,0.5662738732499365,0.7403314917127072,0.46206896551724136,0.5974821552740066,0.5303867403314917,0.7007299270072993
oc_12_1000_1000_1.0_p019_0710_1.dat,18,27.38121546961326,0.847742080424057,0.9630777198585907,0.710312748682306,0.5654697189472105,0.7624309392265194,0.44805194805194803,0.5833999987404077,0.5027624309392266,0.7054263565891473
oc_12_1000_1000_1.0_p019_0710_1.dat,19,27.38121546961326,0.8481650193384347,0.9631687334891021,0.709475994785029,0.5762098925222036,0.7403314917127072,0.47686832740213525,0.5833999987404077,0.5027624309392266,0.7054263565891473
oc_12_1000_1000_1.0_p019_0710_1.dat,20,27.38121546961326,0.8492945620409869,0.9636762701966128,0.7065727730049913,0.5623262758755222,0.7458563535911602,0.45302013422818793,0.6094803482136629,0.5524861878453039,0.6993006993006993
oc_12_1000_1000_1.0_p019_0710_1.dat,21,27.38121546961326,0.850025995612217,0.9640750466691121,0.7130053614287905,0.576350108175428,0.7458563535911602,0.47368421052631576,0.6011957015769066,0.5414364640883977,0.6950354609929078
oc_12_1000_1000_1.0_p019_0710_1.dat,22,27.38121546961326,0.8499069704780986,0.9641142609845602,0.7115637505696416,0.566129259724831,0.7569060773480663,0.4521452145214521,0.6035071189696002,0.5414364640883977,0.7
oc_12_1000_1000_1.0_p019_0710_1.dat,23,27.38121546961326,0.8496260207199311,0.9640607284782591,0.7179627600723144,0.5822119688806574,0.7569060773480663,0.4756944444444444,0.5951428818988412,0.5303867403314917,0.6956521739130435
oc_12_1000_1000_1.0_p019_0710_1.dat,24,27.38121546961326,0.8520258182328199,0.9645609602448467,0.724530073488239,0.5851193612347453,0.7790055248618785,0.46688741721854304,0.578155401137433,0.5082872928176796,0.6865671641791045
