Name,n_run,CI,LSR,BSL,HMS,MCC_5,TPR_5,PPV_5,MCC_9,TPR_9,PPV_9
92.00_2.71_3.35_19.40_30.55.dat,1,92.0,0.6026829519875243,0.91572217378669,0.6052894964891106,0.26099161329688675,0.8108108108108109,0.09584664536741214,0.26099161329688675,0.8108108108108109,0.09584664536741214
92.00_2.71_3.35_19.40_30.55.dat,2,92.0,0.7671860486716537,0.9408602150537635,0.6755305211283432,0.21727242911464642,0.8783783783783784,0.06519558676028084,0.3830399251646721,0.7567567567567568,0.20512820512820512
92.00_2.71_3.35_19.40_30.55.dat,3,92.0,0.8303863735353577,0.9561981336174885,0.7623207922297957,0.3741565013114265,0.8783783783783784,0.16971279373368145,0.4779847893281882,0.7297297297297297,0.32335329341317365
92.00_2.71_3.35_19.40_30.55.dat,4,92.0,0.8442592829878554,0.9623746730601569,0.7857486558103837,0.34162719505380984,0.8783783783783784,0.1434878587196468,0.46843887858433014,0.6891891891891891,0.32903225806451614
92.00_2.71_3.35_19.40_30.55.dat,5,92.0,0.838761671660567,0.9609648358035455,0.7994501605000881,0.4355435639185455,0.8783783783783784,0.22569444444444445,0.483284785277691,0.6891891891891891,0.3493150684931507
92.00_2.71_3.35_19.40_30.55.dat,6,92.0,0.8406851711001926,0.9625875875875876,0.7967223066584482,0.3978841080427627,0.8918918918918919,0.1875,0.483284785277691,0.6891891891891891,0.3493150684931507
92.00_2.71_3.35_19.40_30.55.dat,7,92.0,0.8486466926536376,0.965630541667408,0.8106991784482188,0.46246099133417934,0.8783783783783784,0.2529182879377432,0.4722407186866934,0.6621621621621622,0.3475177304964539
92.00_2.71_3.35_19.40_30.55.dat,8,92.0,0.8501719362986283,0.9656440714908456,0.812904442584369,0.4458548331087199,0.8918918918918919,0.2323943661971831,0.4681991823020416,0.6351351351351351,0.3560606060606061
92.00_2.71_3.35_19.40_30.55.dat,9,92.0,0.8519044883602361,0.9666010096117623,0.828714677541913,0.4682288857782543,0.8783783783783784,0.2589641434262948,0.4681991823020416,0.6351351351351351,0.3560606060606061
92.00_2.71_3.35_19.40_30.55.dat,10,92.0,0.8558008558004538,0.9681095611740773,0.8202263347459071,0.45966844885674946,0.8918918918918919,0.2462686567164179,0.48562407821443004,0.7297297297297297,0.3333333333333333
92.00_2.71_3.35_19.40_30.55.dat,11,92.0,0.8609309980504385,0.9691025336186626,0.8180872974652081,0.4803989407374171,0.8783783783783784,0.2719665271966527,0.4871938772158929,0.7297297297297297,0.33540372670807456
92.00_2.71_3.35_19.40_30.55.dat,12,92.0,0.859870955144999,0.9689881413671736,0.8266975973540243,0.46151896692992617,0.8783783783783784,0.25193798449612403,0.4871938772158929,0.7297297297297297,0.33540372670807456
92.00_2.71_3.35_19.40_30.55.dat,13,92.0,0.8564685704724861,0.9682371816366854,0.8267326953408021,0.47420390814275293,0.8783783783783784,0.2653061224489796,0.4871938772158929,0.7297297297297297,0.33540372670807456
92.00_2.71_3.35_19.40_30.55.dat,14,92.0,0.8576148269955836,0.9686797561221524,0.819154008912172,0.4701969318596014,0.8783783783783784,0.26104417670682734,0.48877816369816585,0.7297297297297297,0.3375
92.00_2.71_3.35_19.40_30.55.dat,15,92.0,0.8564862660972757,0.9685240078788466,0.8239000293196674,0.4676021653062445,0.8648648648648649,0.26229508196721313,0.4907377019998792,0.7162162162162162,0.3464052287581699
92.00_2.71_3.35_19.40_30.55.dat,16,92.0,0.8573215013559853,0.9687607844739902,0.8189191423312409,0.4701969318596014,0.8783783783783784,0.26104417670682734,0.4861728333323631,0.7027027027027027,0.3466666666666667
92.00_2.71_3.35_19.40_30.55.dat,17,92.0,0.8562763909323954,0.968643942524956,0.8196879149830167,0.46660029375356743,0.8648648648648649,0.2612244897959184,0.49306191928483156,0.7027027027027027,0.3561643835616438
92.00_2.71_3.35_19.40_30.55.dat,18,92.0,0.8581008298071607,0.969321472009644,0.8218147318944471,0.45596380432321415,0.8648648648648649,0.25,0.49306191928483156,0.7027027027027027,0.3561643835616438
92.00_2.71_3.35_19.40_30.55.dat,19,92.0,0.8598938511081565,0.9696908954347968,0.8224241439164915,0.4676021653062445,0.8648648648648649,0.26229508196721313,0.4857859316131733,0.6756756756756757,0.3597122302158273
92.00_2.71_3.35_19.40_30.55.dat,20,92.0,0.8620234353264946,0.9703585440278989,0.8203796362788724,0.46461453789612017,0.8648648648648649,0.2591093117408907,0.5002935240865602,0.7297297297297297,0.35294117647058826
92.00_2.71_3.35_19.40_30.55.dat,21,92.0,0.8620923394321638,0.9706009498636227,0.8288599915286756,0.46660029375356743,0.8648648648648649,0.2612244897959184,0.48786942149066603,0.7027027027027027,0.348993288590604
92.00_2.71_3.35_19.40_30.55.dat,22,92.0,0.8628761870642379,0.9705459925401274,0.8233859055995971,0.45784705291109734,0.8648648648648649,0.25196850393700787,0.4798706500410779,0.6891891891891891,0.34459459459459457
92.00_2.71_3.35_19.40_30.55.dat,23,92.0,0.8635531657113011,0.9703711883113066,0.818025098040235,0.4676021653062445,0.8648648648648649,0.26229508196721313,0.4815691292832706,0.6891891891891891,0.3469387755102041
92.00_2.71_3.35_19.40_30.55.dat,24,92.0,0.8643621042751768,0.9705216809551487,0.8230278162448708,0.46531981105794396,0.8783783783783784,0.2559055118110236,0.48218600556120933,0.6756756756756757,0.3546099290780142
